,name,categories,review_count,rating,address,zipcode,city,coordinates,phone,transactions
139,CARMAH,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",4,4.0,"['Hudson, MA 01749']",01749,Hudson,"{'latitude': 42.3943972, 'longitude': -71.5964922}",(508) 460-2022,[]
140,Pawtucket Animal Shelter,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",5,3.5,"['401 Newport Ave', 'Pawtucket, RI 02861']",02861,Pawtucket,"{'latitude': 41.8690687, 'longitude': -71.3542032}",(401) 729-7496,[]
141,Yankee Golden Retriever Rescue Inc,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",3,2.5,"['110 Chapin Rd', 'Hudson, MA 01749']",01749,Hudson,"{'latitude': 42.3893848, 'longitude': -71.560526}",(978) 568-9700,[]
142,Milford Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",6,3.0,"['289 West St', 'Milford, MA 01757']",01757,Milford,"{'latitude': 42.15061, 'longitude': -71.55552}",(508) 473-7008,[]
143,Oak Rise Farm,"[{'alias': 'horse_boarding', 'title': 'Horse Boarding'}, {'alias': 'animalshelters', 'title': 'Animal Shelters'}]",1,5.0,"['371 Shirley Hill Rd', 'Goffstown, NH 03045']",03045,Goffstown,"{'latitude': 42.987963, 'longitude': -71.5421857}",(603) 656-9730,[]
144,Providence Animal Rescue League,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",26,3.5,"['34 Elbow St', 'Providence, RI 02903']",02903,Providence,"{'latitude': 41.8173446655273, 'longitude': -71.4104385375977}",(401) 421-1399,[]
148,Darbster Kitty,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'petboarding', 'title': 'Pet Boarding'}]",10,4.0,"['332 Kelley St', 'Manchester, NH 03102']",03102,Manchester,"{'latitude': 42.99496, 'longitude': -71.484359}",(603) 856-9233,[]
149,Boxer Buddies Rescue,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",1,5.0,"['Bellingham, MA 02019']",02019,Bellingham,"{'latitude': 42.068411, 'longitude': -71.476494}",(508) 657-8348,[]
169,Ct Audubon Center At Glastonbury,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",2,5.0,"['1361 Main St', 'Glastonbury, CT 06033']",06033,Glastonbury,"{'latitude': 41.681997, 'longitude': -72.600379}",(860) 633-8402,[]
170,Connecticut Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'vet', 'title': 'Veterinarians'}]",30,3.5,"['701 Russell Rd', 'Newington, CT 06111']",06111,Newington,"{'latitude': 41.700678, 'longitude': -72.706654}",(800) 452-0114,[]
172,Protectors of Animals,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",16,4.5,"['144 Main St', 'East Hartford, CT 06118']",06118,East Hartford,"{'latitude': 41.73418, 'longitude': -72.62567}",(860) 569-0722,[]
176,Animal Friends of Connecticut,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",3,3.5,"['West Hartford, CT 06053']",06053,West Hartford,"{'latitude': 41.68811, 'longitude': -72.79066}",(860) 489-4901,[]
179,For The Love of Dogs,"[{'alias': 'dogwalkers', 'title': 'Dog Walkers'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}]",2,5.0,"['52 Mikayla Ln', 'Prospect, CT 06712']",06712,Prospect,"{'latitude': 41.5249596, 'longitude': -72.9645386}",(203) 996-8068,[]
180,Fur-Gotten Tails Animal Rescue,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",2,1.0,"['Plainville, CT 06062']",06062,Plainville,"{'latitude': 41.67498, 'longitude': -72.85505}",(860) 308-0899,[]
181,Mohawk Hudson Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",20,3.0,"['3 Oakland Ave', 'Albany, NY 12204']",12204,Albany,"{'latitude': 42.6892093, 'longitude': -73.7238381}",(518) 434-8128,[]
183,Columbia-Greene Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}]",11,2.5,"['125 Humane Society Rd', 'Hudson, NY 12534']",12534,Hudson,"{'latitude': 42.26507, 'longitude': -73.75104}",(518) 828-6044,[]
186,Animal Protective Foundation,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}, {'alias': 'pet_training', 'title': 'Pet Training'}]",8,3.0,"['53 Maple Ave', 'Glenville, NY 12302']",12302,Glenville,"{'latitude': 42.84214128981652, 'longitude': -73.92810586271999}",(518) 374-3944,[]
188,Wolcott Dog Pound,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",7,1.5,"['775 Bound Line Rd', 'Wolcott, CT 06716']",06716,Wolcott,"{'latitude': 41.621665, 'longitude': -72.9799}",(203) 879-7620,[]
189,Capital District Humane Assoc,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",3,2.5,"['Albany, NY 12211']",12211,Albany,"{'latitude': 42.69773, 'longitude': -73.76051}",(518) 664-1237,[]
192,All Pets Club,"[{'alias': 'petstore', 'title': 'Pet Stores'}]",11,2.0,"['405 Queen St', 'Southington, CT 06489']",06489,Southington,"{'latitude': 41.6279182, 'longitude': -72.8728714}",(860) 621-4664,[]
194,Animal Rescue Foundation,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",11,1.5,"['366 Main St', 'Terryville, CT 06786']",06786,Terryville,"{'latitude': 41.6787257, 'longitude': -73.0239512}",(860) 583-3089,[]
195,Whiskers Animal Benevolent League,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",13,2.5,"['Albany, NY 12211']",12211,Albany,"{'latitude': 42.71265, 'longitude': -73.77646}",(518) 458-2287,[]
196,Berkshire Wildlife Solutions,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",1,5.0,"['Salisbury, CT 06068']",06068,Salisbury,"{'latitude': 42.023677, 'longitude': -73.4415929}",(413) 528-9813,[]
198,Chathams Small Animal Hospital,"[{'alias': 'vet', 'title': 'Veterinarians'}]",8,4.5,"['4042 Rt 203', 'North Chatham, NY 12132']",12132,North Chatham,"{'latitude': 42.460211, 'longitude': -73.641476}",(518) 766-4600,[]
199,Last Post,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",1,3.0,"['95 Belden St', 'Falls Village, CT 06031']",06031,Falls Village,"{'latitude': 41.98672, 'longitude': -73.365736}",(860) 824-0831,[]
200,Conneticuit Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",2,3.0,"['701 Russell Rd', 'Newington, CT 06880']",06880,Newington,"{'latitude': 41.700695, 'longitude': -72.706655}",(800) 452-0114,[]
202,PetSmart,"[{'alias': 'petstore', 'title': 'Pet Stores'}, {'alias': 'groomer', 'title': 'Pet Groomers'}, {'alias': 'pet_training', 'title': 'Pet Training'}]",32,3.0,"['5 Main St', 'East Hartford, CT 06118']",06118,East Hartford,"{'latitude': 41.727427, 'longitude': -72.620191}",(860) 895-1816,[]
203,Vanillabelle Ragdoll Cats & Kittens,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'petbreeders', 'title': 'Pet Breeders'}]",10,3.5,"['Clinton, NY 13321']",13321,Clinton,"{'latitude': 43.08826, 'longitude': -75.37446}",(315) 725-1235,[]
204,Wells Valley Cat Sanctuary,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",4,3.0,"['New Milford, CT 06776']",06776,New Milford,"{'latitude': 41.57651, 'longitude': -73.40845}",(860) 421-3755,[]
205,Barkery Boo'tique,"[{'alias': 'petstore', 'title': 'Pet Stores'}]",6,5.0,"['92 Park Lane Rd', 'New Milford, CT 06776']",06776,New Milford,"{'latitude': 41.6017236, 'longitude': -73.4058099}",(860) 210-1312,[]
206,Connecticut Veterinary Center,"[{'alias': 'vet', 'title': 'Veterinarians'}, {'alias': 'groomer', 'title': 'Pet Groomers'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}]",50,2.5,"['470 Oakwood Ave', 'West Hartford, CT 06110']",06110,West Hartford,"{'latitude': 41.74183, 'longitude': -72.7202}",(860) 233-8564,[]
208,Farm To You Revue,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",2,3.0,"['Cedar Key, FL 34431']",34431,Cedar Key,"{'latitude': 41.723642, 'longitude': -73.77132}",(845) 518-1239,[]
209,Aunt Bue's Pet Sits and Dog Walks,"[{'alias': 'dogwalkers', 'title': 'Dog Walkers'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}]",1,4.0,"['312 Vliet Blvd', 'Cohoes, NY 12047']",12047,Cohoes,"{'latitude': 42.77888, 'longitude': -73.72237}",(518) 331-5817,[]
210,Holly Hedge Animal Sanctuary,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",2,5.0,"['Wild Country Lane', 'Barrow Gurney', 'Bristol BS48 3SE', 'United Kingdom']",BS48 3SE,Bristol,"{'latitude': 51.413483, 'longitude': -2.674684}",+44 1275 474719,[]
211,Silver Lake Animal Hospital Llc,"[{'alias': 'vet', 'title': 'Veterinarians'}]",3,3.5,"['2762 Wilbur Cross Hwy', 'Berlin, CT 06037']",06037,Berlin,"{'latitude': 41.5793647766113, 'longitude': -72.7675476074219}",(860) 828-4717,[]
252,Animal Adventures,"[{'alias': 'zoos', 'title': 'Zoos'}, {'alias': 'animalshelters', 'title': 'Animal Shelters'}]",159,4.0,"['336 Sugar Rd', 'Bolton, MA 01740']",01740,Bolton,"{'latitude': 42.450634, 'longitude': -71.584318}",(978) 779-8988,[]
