,name,review_count,rating,address,zipcode,city,coordinates,phone,lat,lng,category
20,Paul & Elizabeth's,282,4.0,"'150 Main St', 'Northampton, MA 01060'",01060,Northampton,"{'latitude': 42.31834, 'longitude': -72.63117}",(413) 584-4832,42.31834,-72.63117,Grocery Store
21,Pure Love Bakery,37,4.5,"'136 Simsbury Rd', 'Ste 16', 'Avon, CT 06001'",06001,Avon,"{'latitude': 41.8189778, 'longitude': -72.8293672}",(860) 409-0302,41.8189778,-72.8293672,Grocery Store
22,ShopRite of Canton,28,3.5,"'110 Albany Turnpike', 'Ste 200', 'Canton, CT 06019'",06019,Canton,"{'latitude': 41.8224465, 'longitude': -72.8829132}",(860) 693-3666,41.8224465,-72.8829132,Grocery Store
23,Whole Foods Market,53,3.5,"'340 N Main St', 'West Hartford, CT 06117'",06117,West Hartford,"{'latitude': 41.784729, 'longitude': -72.745477}",(860) 523-7174,41.784729,-72.745477,Grocery Store
24,The Greenway Market,63,4.0,"'71 Asylum St', 'Hartford, CT 06103'",06103,Hartford,"{'latitude': 41.7667988687754, 'longitude': -72.6745136082172}",(860) 263-7823,41.7667988687754,-72.6745136082172,Grocery Store
25,Billings Forge Farmers Market,6,4.5,"'563 Broad St', 'Hartford, CT 06106'",06106,Hartford,"{'latitude': 41.7618168, 'longitude': -72.6868503}",(860) 548-9877,41.7618168,-72.6868503,Grocery Store
26,State Street Fruit Store,30,4.0,"'51 State St', 'Northampton, MA 01060'",01060,Northampton,"{'latitude': 42.319374, 'longitude': -72.633943}",(413) 584-2301,42.319374,-72.633943,Grocery Store
27,Indigo Indian Bistro,200,4.0,"'232 Spencer St', 'Manchester, CT 06040'",06040,Manchester,"{'latitude': 41.7658008219069, 'longitude': -72.570866473013}",(860) 646-8600,41.7658008219069,-72.570866473013,Grocery Store
28,Cedar's Food Mart & Grill,29,4.0,"'405 Armory St', 'Springfield, MA 01104'",01104,Springfield,"{'latitude': 42.12052, 'longitude': -72.585797}",(413) 273-1215,42.12052,-72.585797,Grocery Store
29,Whole Foods Market,123,3.5,"'50 Raymond Rd', 'West Hartford, CT 06107'",06107,West Hartford,"{'latitude': 41.76096264, 'longitude': -72.73893213}",(860) 523-8500,41.76096264,-72.73893213,Grocery Store
30,Avon Prime Meats,83,4.0,"'395 W Main St', 'Avon, CT 06001'",06001,Avon,"{'latitude': 41.8155937194824, 'longitude': -72.8652954101562}",(860) 676-4444,41.8155937194824,-72.8652954101562,Grocery Store
31,ShopRite of Enfield,13,3.5,"'40 Hazard Ave', 'Enfield, CT 06082'",06082,Enfield,"{'latitude': 41.987872, 'longitude': -72.578326}",(860) 745-1621,41.987872,-72.578326,Grocery Store
32,Big Y World Class Market,7,3.5,"'195 College Hwy', 'Southwick, MA 01077'",01077,Southwick,"{'latitude': 42.0248206662111, 'longitude': -72.7883265385298}",(413) 569-6163,42.0248206662111,-72.7883265385298,Grocery Store
33,Big Y World Class Market,9,3.5,"'67 Prospect Hill Rd', 'East Windsor, CT 06088'",06088,East Windsor,"{'latitude': 41.92214725352886, 'longitude': -72.60809496130784}",(860) 623-4000,41.92214725352886,-72.60809496130784,Grocery Store
34,Stop & Shop,13,3.0,"'50 Windsorville Rd', 'Vernon Rockville, CT 06066'",06066,Vernon Rockville,"{'latitude': 41.8644655, 'longitude': -72.4824419}",(860) 871-0498,41.8644655,-72.4824419,Grocery Store
35,Stop & Shop,32,2.5,"'1739 Ellington Rd', 'South Windsor, CT 06074'",06074,South Windsor,"{'latitude': 41.824761, 'longitude': -72.5550636}",(860) 648-4026,41.824761,-72.5550636,Grocery Store
36,Divine Treasures,86,4.0,"'404 Middle Tpke W', 'Manchester, CT 06040'",06040,Manchester,"{'latitude': 41.779475, 'longitude': -72.541147}",(860) 643-2552,41.779475,-72.541147,Grocery Store
37,Big Y,10,3.0,"'802 Williams St', 'Longmeadow, MA 01106'",01106,Longmeadow,"{'latitude': 42.0557699, 'longitude': -72.5550012}",(413) 567-6231,42.0557699,-72.5550012,Grocery Store
38,Stop & Shop,26,3.0,"'10 Pitkin Rd', 'Vernon, CT 06066'",06066,Vernon,"{'latitude': 41.8283767, 'longitude': -72.4945246}",(860) 871-0897,41.8283767,-72.4945246,Grocery Store
39,Noodles & Company,47,3.5,"'1442 Pleasant Valley Rd', 'Manchester, CT 06042'",06042,Manchester,"{'latitude': 41.8049371, 'longitude': -72.5611742}",(860) 432-9889,41.8049371,-72.5611742,Grocery Store
40,Cushman Market and Cafe,89,4.0,"'491 Pine St', 'Amherst, MA 01002'",01002,Amherst,"{'latitude': 42.4126167297363, 'longitude': -72.5079345703125}",(413) 549-0100,42.4126167297363,-72.5079345703125,Grocery Store
41,The Old Creamery,34,4.5,"'445 Berkshire Trl', 'Cummington, MA 01026'",01026,Cummington,"{'latitude': 42.464115, 'longitude': -72.90535}",(413) 634-5560,42.464115,-72.90535,Grocery Store
42,Petersham Country Store,34,4.5,"'2 N Main St', 'Petersham, MA 01366'",01366,Petersham,"{'latitude': 42.48871, 'longitude': -72.18573}",(978) 724-0000,42.48871,-72.18573,Grocery Store
43,Green Fields Market,40,3.5,"'144 Main St', 'Greenfield, MA 01301'",01301,Greenfield,"{'latitude': 42.5881385803223, 'longitude': -72.6039352416992}",(413) 773-9567,42.5881385803223,-72.6039352416992,Grocery Store
44,McCusker's Market,10,3.5,"'3 State St', 'Shelburne Falls, MA 01370'",01370,Shelburne Falls,"{'latitude': 42.6037496, 'longitude': -72.7415675}",(413) 625-2548,42.6037496,-72.7415675,Grocery Store
45,Simple Enough Natural Foods,9,4.5,"'18 Lyman St', 'Westborough, MA 01581'",01581,Westborough,"{'latitude': 42.28211, 'longitude': -71.60705}",(508) 366-7037,42.28211,-71.60705,Grocery Store
46,Roots Natural Foods. Kitchen + Organic Juice Bar,125,4.5,"'100 Crawford St', 'Leominster, MA 01453'",01453,Leominster,"{'latitude': 42.5452308654785, 'longitude': -71.7459564208984}",(978) 534-7668,42.5452308654785,-71.7459564208984,Grocery Store
47,Debra's Natural Gourmet,49,4.5,"'98 Commonwealth Ave', 'West Concord, MA 01742'",01742,West Concord,"{'latitude': 42.45731, 'longitude': -71.395445}",(978) 371-7573,42.45731,-71.395445,Grocery Store
48,Putney Food Co-op,34,4.5,"'8 Carol Brown Way', 'Putney, VT 05346'",05346,Putney,"{'latitude': 42.968, 'longitude': -72.52313}",(802) 387-5866,42.968,-72.52313,Grocery Store
49,Urban Greens,22,4.5,"'93 Cranston St', 'Providence, RI 02907'",02907,Providence,"{'latitude': 41.8161021467218, 'longitude': -71.4240866625309}",(401) 273-0362,41.8161021467218,-71.4240866625309,Grocery Store
50,Tilly & Salvy's Bacon Street Farm,25,4.5,"'100 Bacon St', 'Natick, MA 01760'",01760,Natick,"{'latitude': 42.29285, 'longitude': -71.33662}",(508) 653-4851,42.29285,-71.33662,Grocery Store
51,Tip Top Country Store,3,5.0,"'8 Central St', 'Brookfield, MA 01506'",01506,Brookfield,"{'latitude': 42.215054222992, 'longitude': -72.1005660404087}",(508) 867-0460,42.215054222992,-72.1005660404087,Grocery Store
52,Loving Hut,153,4.0,"'415 Chandler St', 'Worcester, MA 01602'",01602,Worcester,"{'latitude': 42.2638843, 'longitude': -71.8331715}",(508) 459-0367,42.2638843,-71.8331715,Grocery Store
53,Loving Hut,143,4.0,"'56 Hamilton St', 'Worcester, MA 01604'",01604,Worcester,"{'latitude': 42.2558503, 'longitude': -71.7819251}",(508) 831-1322,42.2558503,-71.7819251,Grocery Store
54,Life Alive,455,4.5,"'194 Middle St', 'Lowell, MA 01852'",01852,Lowell,"{'latitude': 42.645100566763, 'longitude': -71.311941696326}",(978) 453-1311,42.645100566763,-71.311941696326,Grocery Store
55,The Good Seed,11,4.5,"'138 Central Ave', 'Seekonk, MA 02771'",02771,Seekonk,"{'latitude': 41.8893914, 'longitude': -71.3337072}",(508) 399-7333,41.8893914,-71.3337072,Grocery Store
56,A Market,36,4.0,"'125 Loring St', 'Manchester, NH 03103'",03103,Manchester,"{'latitude': 42.966793, 'longitude': -71.45166}",(603) 668-2650,42.966793,-71.45166,Grocery Store
57,Bravo Supermarket,3,4.5,"'693 Dexter St', 'Central Falls, RI 02863'",02863,Central Falls,"{'latitude': 41.8867073059082, 'longitude': -71.3967514038086}",(401) 305-3320,41.8867073059082,-71.3967514038086,Grocery Store
58,Market Street Market,28,3.5,"'95 Market St', 'Lowell, MA 01852'",01852,Lowell,"{'latitude': 42.644645690918, 'longitude': -71.3103637695312}",(978) 735-4532,42.644645690918,-71.3103637695312,Grocery Store
59,"Olive del Mondo: Olive Oils, Vinegars & Vegan Mini Mart",37,4.5,"'815 Hope St', 'Providence, RI 02906'",02906,Providence,"{'latitude': 41.8492862, 'longitude': -71.3948734}",(401) 383-5733,41.8492862,-71.3948734,Grocery Store
60,Kalon Farm,9,5.0,"'339 Seven Bridge Rd', 'Lancaster, MA 01523'",01523,Lancaster,"{'latitude': 42.4638825, 'longitude': -71.6636436}",(978) 878-3239,42.4638825,-71.6636436,Grocery Store
61,Vincent's Country Store,4,4.0,"'109 Main St', 'Westminster, MA 01473'",01473,Westminster,"{'latitude': 42.5460076450166, 'longitude': -71.9135589184412}",(978) 874-1705,42.5460076450166,-71.9135589184412,Grocery Store
62,India Market,32,3.5,"'1000 Boston Tpke Rd', 'Shrewsbury, MA 01545'",01545,Shrewsbury,"{'latitude': 42.2799301147461, 'longitude': -71.6743316650391}",(508) 925-5427,42.2799301147461,-71.6743316650391,Grocery Store
63,Monti Farms & Deli,10,5.0,"'194 Worcester Rd', 'Princeton, MA 01541'",01541,Princeton,"{'latitude': 42.4228106, 'longitude': -71.8783023}",(919) 428-4758,42.4228106,-71.8783023,Grocery Store
64,Eastside Marketplace,152,3.0,"'165 Pitman St', 'Providence, RI 02906'",02906,Providence,"{'latitude': 41.8254939821809, 'longitude': -71.3863242539673}",(401) 831-7771,41.8254939821809,-71.3863242539673,Grocery Store
65,Basha's Natural Marketplace,16,3.5,"'190 Washington St', 'Hudson, MA 01749'",01749,Hudson,"{'latitude': 42.38185, 'longitude': -71.56795}",(978) 562-2154,42.38185,-71.56795,Grocery Store
66,Nature's Green Grocer,35,4.0,"'374 Union St', 'Peterborough, NH 03458'",03458,Peterborough,"{'latitude': 42.8867739495925, 'longitude': -71.9836020469666}",(603) 924-2233,42.8867739495925,-71.9836020469666,Grocery Store
67,Whole Foods Market,48,4.0,"'193 Boston Turnpike', 'Shrewsbury, MA 01545'",01545,Shrewsbury,"{'latitude': 42.275403, 'longitude': -71.746577}",(508) 749-5520,42.275403,-71.746577,Grocery Store
68,Brattleboro Food Coop,100,4.0,"'2 Main St', 'Brattleboro, VT 05301'",05301,Brattleboro,"{'latitude': 42.8504250305548, 'longitude': -72.5581984054365}",(802) 257-0236,42.8504250305548,-72.5581984054365,Grocery Store
69,Monadnock Food Co-op,55,4.5,"'34 Cypress St', 'Keene, NH 03431'",03431,Keene,"{'latitude': 42.9319067, 'longitude': -72.2777473}",(603) 355-8008,42.9319067,-72.2777473,Grocery Store
70,Cai's Dim Sum Catering,31,4.5,"'814 Western Ave', 'Brattleboro, VT 05301'",05301,Brattleboro,"{'latitude': 42.85146, 'longitude': -72.5962799}",(802) 257-7898,42.85146,-72.5962799,Grocery Store
71,New Oriental Supermarket,19,4.0,"'476 King St', 'Littleton, MA 01460'",01460,Littleton,"{'latitude': 42.5463, 'longitude': -71.47392}",(978) 486-8128,42.5463,-71.47392,Grocery Store
72,Market Basket,130,4.0,"'1200 Newport Ave', 'Attleboro, MA 02703'",02703,Attleboro,"{'latitude': 41.8995685, 'longitude': -71.3550528}",(508) 399-8088,41.8995685,-71.3550528,Grocery Store
73,Wegmans,287,4.0,"'9102 Shops Way', 'Northborough, MA 01532'",01532,Northborough,"{'latitude': 42.2910086865742, 'longitude': -71.6703629493713}",(508) 936-1900,42.2910086865742,-71.6703629493713,Grocery Store
74,Superfresh! Organic Cafe,132,4.0,"'30 Main St', 'Brattleboro, VT 05301'",05301,Brattleboro,"{'latitude': 42.8507496420662, 'longitude': -72.5580666871769}",(802) 579-1751,42.8507496420662,-72.5580666871769,Grocery Store
75,Double Zero,35,4.5,"'334 S Water St', 'Providence, RI 02903'",02903,Providence,"{'latitude': 41.82078298513988, 'longitude': -71.4043249462019}",(401) 429-2029,41.82078298513988,-71.4043249462019,Grocery Store
76,Farfalle Italian Market,31,4.0,"'26 Concord Crossing', 'Concord, MA 01742'",01742,Concord,"{'latitude': 42.4557270513108, 'longitude': -71.3571904343743}",(978) 369-2900,42.4557270513108,-71.3571904343743,Grocery Store
77,PriceRite of Providence,34,4.0,"'325 Valley St', 'Providence, RI 02908'",02908,Providence,"{'latitude': 41.82605, 'longitude': -71.43861}",(401) 272-0721,41.82605,-71.43861,Grocery Store
78,Heirloom Food Company,120,4.5,"'630 N Main St', 'Danielson, CT 06239'",06239,Danielson,"{'latitude': 41.8169926, 'longitude': -71.8765292}",(860) 779-3373,41.8169926,-71.8765292,Grocery Store
79,The Thrifty Gypsy,5,5.0,"'531 Main St', 'Sturbridge, MA 01518'",01518,Sturbridge,"{'latitude': 42.1156008, 'longitude': -72.11136}",(774) 490-9070,42.1156008,-72.11136,Grocery Store
80,Uncle Sam's Health Food,7,4.0,"'646 New Loudon Rd', 'Latham, NY 12110'",12110,Latham,"{'latitude': 42.734794, 'longitude': -73.762594}",(518) 782-5233,42.734794,-73.762594,Grocery Store
81,Berkshire Food Co-op,35,4.0,"'34 Bridge St', 'Great Barrington, MA 01230'",01230,Great Barrington,"{'latitude': 42.19337768, 'longitude': -73.36214166}",(413) 528-9697,42.19337768,-73.36214166,Grocery Store
82,Steuben St Market,31,4.0,"'58 N Pearl St', 'Albany, NY 12207'",12207,Albany,"{'latitude': 42.6517399, 'longitude': -73.7519499}",(518) 977-4030,42.6517399,-73.7519499,Grocery Store
83,Hannaford Supermarkets,5,4.0,"'9 126th St', 'Troy, NY 12182'",12182,Troy,"{'latitude': 42.78897, 'longitude': -73.67153}",(518) 233-8196,42.78897,-73.67153,Grocery Store
84,The Fresh Market,91,3.5,"'664 New Loudon Rd', 'Latham, NY 12110'",12110,Latham,"{'latitude': 42.73590225716114, 'longitude': -73.76307046866084}",(518) 786-5150,42.73590225716114,-73.76307046866084,Grocery Store
85,Market Bistro,56,3.0,"'873 New Loudon Rd', 'Ste 1', 'Latham, NY 12110'",12110,Latham,"{'latitude': 42.75427, 'longitude': -73.75703}",(518) 782-0441,42.75427,-73.75703,Grocery Store
86,Thrive Diner,63,4.5,"'145 Wahconah St', 'Pittsfield, MA 01201'",01201,Pittsfield,"{'latitude': 42.4625, 'longitude': -73.25181}",(413) 344-9353,42.4625,-73.25181,Grocery Store
87,Willimantic Food Co-op,29,4.5,"'91 Valley St', 'Willimantic, CT 06226'",06226,Willimantic,"{'latitude': 41.71358, 'longitude': -72.21083}",(860) 456-3611,41.71358,-72.21083,Grocery Store
88,Chatham Real Food Market Co-op,13,4.0,"'15 Church St', 'Chatham, NY 12037'",12037,Chatham,"{'latitude': 42.3570011051459, 'longitude': -73.6017014699058}",(518) 392-3353,42.3570011051459,-73.6017014699058,Grocery Store
89,Oaxaquena Triqui,136,4.5,"'77 N Lake Ave', 'Albany, NY 12206'",12206,Albany,"{'latitude': 42.663376, 'longitude': -73.771916}",(518) 465-0080,42.663376,-73.771916,Grocery Store
90,Lebanon Green Store,6,4.5,"'199 W Town St', 'Lebanon, CT 06249'",06249,Lebanon,"{'latitude': 41.634714, 'longitude': -72.212769}",(860) 468-0323,41.634714,-72.212769,Grocery Store
91,Bombers Burrito Bar,400,3.0,"'258 Lark St', 'Albany, NY 12210'",12210,Albany,"{'latitude': 42.654014, 'longitude': -73.765853}",(518) 463-9636,42.654014,-73.765853,Grocery Store
92,McEnroe Organic Farm Market,30,4.5,"'5409 Rte 22', 'Millerton, NY 12546'",12546,Millerton,"{'latitude': 41.897709, 'longitude': -73.534713}",(518) 789-4191,41.897709,-73.534713,Grocery Store
93,Heirloom Market,152,4.5,"'263 Main St', 'Comstock Ferre', 'Wethersfield, CT 06109'",06109,Wethersfield,"{'latitude': 41.7137613873115, 'longitude': -72.6529861986637}",(860) 257-2790,41.7137613873115,-72.6529861986637,Grocery Store
94,BJ's Wholesale Club,24,3.0,"'507 New Park Ave', 'West Hartford, CT 06110'",06110,West Hartford,"{'latitude': 41.74008612311427, 'longitude': -72.72287427817781}",(860) 232-9200,41.74008612311427,-72.72287427817781,Grocery Store
95,The Chatham Berry Farm,23,4.5,"'2309 Route 203', 'Chatham, NY 12037'",12037,Chatham,"{'latitude': 42.376099, 'longitude': -73.63444}",(518) 392-4609,42.376099,-73.63444,Grocery Store
96,Lark Natural Foods,18,4.5,"'217 Lark St', 'Albany, NY 12210'",12210,Albany,"{'latitude': 42.6556510625079, 'longitude': -73.7646060476989}",(518) 285-0786,42.6556510625079,-73.7646060476989,Grocery Store
97,Trader Joe's,130,4.0,"'1489 New Britain Ave', 'West Hartford, CT 06110'",06110,West Hartford,"{'latitude': 41.7234651, 'longitude': -72.7580425383531}",(860) 561-4771,41.7234651,-72.7580425383531,Grocery Store
98,Guido's Fresh Marketplace,41,4.0,"'760 S Main St', 'Great Barrington, MA 01230'",01230,Great Barrington,"{'latitude': 42.1796007408177, 'longitude': -73.3640170097351}",(413) 528-9255,42.1796007408177,-73.3640170097351,Grocery Store
99,Love Apple Farm,29,4.0,"'1421 Rt 9H', 'Ghent, NY 12075'",12075,Ghent,"{'latitude': 42.311257, 'longitude': -73.702252}",(518) 828-5048,42.311257,-73.702252,Grocery Store
100,Wild Oats Market,32,3.5,"'320 Main St', 'Williamstown, MA 01267'",01267,Williamstown,"{'latitude': 42.70334, 'longitude': -73.18677}",(413) 458-8060,42.70334,-73.18677,Grocery Store
101,Stop & Shop,23,2.5,"'55 Oak St', 'Glastonbury, CT 06033'",06033,Glastonbury,"{'latitude': 41.7066145, 'longitude': -72.5949941}",(860) 652-8925,41.7066145,-72.5949941,Grocery Store
102,Troy Waterfront Farmers Market,71,4.5,"'49 4th St', 'Troy, NY 12180'",12180,Troy,"{'latitude': 42.7321633, 'longitude': -73.68959}",(518) 708-4216,42.7321633,-73.68959,Grocery Store
103,Trader Joe's,51,4.5,"'77 Boston Turnpike', 'shrewsbury, MA 01545'",01545,shrewsbury,"{'latitude': 42.27528667, 'longitude': -71.75125167}",(508) 790-3008,42.27528667,-71.75125167,Grocery Store
104,Sweet Peas,28,4.5,"'520 Providence Rd', 'Brooklyn, CT 06234'",06234,Brooklyn,"{'latitude': 41.79876704925848, 'longitude': -71.90539218781885}",(860) 779-3040,41.79876704925848,-71.90539218781885,Grocery Store
105,The Vegan Nest Café,76,4.0,"'6 Waldo St', 'Worcester, MA 01608'",01608,Worcester,"{'latitude': 42.265762, 'longitude': -71.8001351527786}",(508) 333-0095,42.265762,-71.8001351527786,Grocery Store
106,Back To Basics Natural Foods,18,4.0,"'500 Main St', 'East Greenwich, RI 02818'",02818,East Greenwich,"{'latitude': 41.65738, 'longitude': -71.45157}",(401) 885-2679,41.65738,-71.45157,Grocery Store
107,Dave's Marketplace,38,4.0,"'18 Airport Rd', 'Warwick, RI 02889'",02889,Warwick,"{'latitude': 41.7332819, 'longitude': -71.4080683}",(401) 738-8300,41.7332819,-71.4080683,Grocery Store
108,Whole Foods Market,109,4.0,"'151 Sockanosset Cross Rd', 'Garden City Center', 'Cranston, RI 02920'",02920,Cranston,"{'latitude': 41.755906, 'longitude': -71.456046}",(401) 942-7600,41.755906,-71.456046,Grocery Store
109,It's Only Natural Market,47,3.5,"'575 Main St', 'Middletown, CT 06457'",06457,Middletown,"{'latitude': 41.5637727, 'longitude': -72.6519354}",(860) 346-1786,41.5637727,-72.6519354,Grocery Store
110,Market Basket,0,0.0,"'25 Pace Blvd', 'Bald Hill Commons', 'Warwick, RI 02886'",02886,Warwick,"{'latitude': 41.70262, 'longitude': -71.49673}",(401) 593-1990,41.70262,-71.49673,Grocery Store
111,Dave's Marketplace,38,4.0,"'125 Tower Hill Rd', 'North Kingstown, RI 02852'",02852,North Kingstown,"{'latitude': 41.5706, 'longitude': -71.46138}",(401) 268-3991,41.5706,-71.46138,Grocery Store
112,Udupi Bhavan,152,4.0,"'749 Saybrook Rd', 'Ste 104', 'Middletown, CT 06457'",06457,Middletown,"{'latitude': 41.53731, 'longitude': -72.61702}",(860) 346-3355,41.53731,-72.61702,Grocery Store
113,Trader Joe's,198,4.5,"'1000 Bald Hill Rd', 'Warwick, RI 02886'",02886,Warwick,"{'latitude': 41.712416, 'longitude': -71.487168}",(401) 821-5368,41.712416,-71.487168,Grocery Store
114,Armando & Sons Meat Market,31,4.5,"'895 Elmwood Ave', 'Providence, RI 02907'",02907,Providence,"{'latitude': 41.7880859375, 'longitude': -71.4214324951172}",(401) 727-0707,41.7880859375,-71.4214324951172,Grocery Store
115,Beaver St Market And Deli,5,4.0,"'98 Beaver St', 'Keene, NH 03431'",03431,Keene,"{'latitude': 42.93775, 'longitude': -72.27325}",(603) 352-5606,42.93775,-72.27325,Grocery Store
116,The Vermont Country Deli,194,4.5,"'436 Western Ave', 'Brattleboro, VT 05301'",05301,Brattleboro,"{'latitude': 42.8500247628076, 'longitude': -72.582544590213}",(802) 257-9254,42.8500247628076,-72.582544590213,Grocery Store
117,Market Basket,19,3.5,"'Swanzey, NH 03446'",03446,Swanzey,"{'latitude': 42.8756256103516, 'longitude': -72.2661819458008}",(603) 352-6119,42.8756256103516,-72.2661819458008,Grocery Store
118,The Village Chocolate Shoppe,22,4.5,"'471 Main St', 'Bennington, VT 05201'",05201,Bennington,"{'latitude': 42.878068909049, 'longitude': -73.194789737463}",(802) 447-3789,42.878068909049,-73.194789737463,Grocery Store
119,Marvel Produce - Home Fresh,2,5.0,"'707 Executive Blvd', 'Valley Cottage, NY 10989'",10989,Valley Cottage,"{'latitude': 41.13018, 'longitude': -73.945631}",(845) 767-5280,41.13018,-73.945631,Grocery Store
120,A Matter of Health,66,3.5,"'138 Rockland Plz', 'Nanuet, NY 10954'",10954,Nanuet,"{'latitude': 41.099157, 'longitude': -74.015098}",(845) 627-3333,41.099157,-74.015098,Grocery Store
121,Trader Joe's,77,4.0,"'20 Irvington St', 'Westwood, NJ 07675'",07675,Westwood,"{'latitude': 40.9931741, 'longitude': -74.0359794}",(201) 263-0134,40.9931741,-74.0359794,Grocery Store
122,Wegmans,213,4.0,"'100 Farm View', 'Montvale, NJ 07645'",07645,Montvale,"{'latitude': 41.049789, 'longitude': -74.060543}",(551) 249-2200,41.049789,-74.060543,Grocery Store
123,Good Roots Natural Market,11,4.5,"'242 Route 9W', 'Haverstraw, NY 10927'",10927,Haverstraw,"{'latitude': 41.201242, 'longitude': -73.982803}",(845) 553-9646,41.201242,-73.982803,Grocery Store
124,Green Organic Market,41,4.0,"'275 S Central Ave', 'Hartsdale, NY 10530'",10530,Hartsdale,"{'latitude': 41.01243, 'longitude': -73.80664}",(914) 437-8645,41.01243,-73.80664,Grocery Store
125,Old World Food Market,64,3.0,"'40 Rte 59', 'Nyack, NY 10960'",10960,Nyack,"{'latitude': 41.094426, 'longitude': -73.934648}",(845) 512-8882,41.094426,-73.934648,Grocery Store
